repository_name,release_id,cycle_length_days,is_prerelease,release_sequence,commit_count,pr_count,pct_merged,avg_time_to_merge_hours,median_time_to_merge_hours,distinct_contributors,first_time_contributor_count,first_time_contributor_share,top_contributor_share,open_issues_at_release,open_bugs_at_release,release_date,bugs_in_window,elevated_risk,risk_threshold_used,window_complete,prior_releases_avg_bugs,prior_releases_count,split,had_commit_activity,had_pr_activity,had_contributor_activity,has_prior_release_history,has_prior_release,open_bugs_at_release_repo_z,prior_releases_avg_bugs_repo_z,repo_kubernetes/kubernetes,repo_microsoft/vscode
kubernetes/kubernetes,186527464,28.470636574074074,0,263,563.0,396.0,0.6590909090909091,644.2762281822052,65.35888888888888,110.0,12.0,0.109090909090909,0.0870337477797513,1929,787,2024-11-20 23:36:18+00:00,62.0,0.0,112.25,True,95.453125,256,validation,1,1,1,1,1,0.2516668760635414,-1.4020295852809053,1,0
kubernetes/kubernetes,186532670,0.0490162037037037,0,264,1.0,0.0,0.6733167082294265,539.7293459222769,145.54541666666665,1.0,0.0,0.0,1.0,1925,787,2024-11-21 00:46:53+00:00,62.0,0.0,112.25,True,95.453125,256,validation,1,0,1,1,1,0.2516668760635414,-1.4020295852809053,1,0
kubernetes/kubernetes,186534409,0.0180439814814814,0,265,0.0,0.0,0.6733167082294265,539.7293459222769,145.54541666666665,0.0,0.0,0.13190730837789655,0.1649305555555555,1925,787,2024-11-21 01:12:52+00:00,62.0,0.0,112.25,True,95.453125,256,validation,0,0,0,1,1,0.2516668760635414,-1.4020295852809053,1,0
kubernetes/kubernetes,190042097,19.76502314814815,0,269,126.0,160.0,0.575,992.7875241545892,382.5459722222222,56.0,7.0,0.125,0.1746031746031746,1947,804,2024-12-10 19:34:30+00:00,53.0,0.0,112.25,True,94.81679389312976,262,validation,1,1,1,1,1,0.5604318981656988,-1.441407707758839,1,0
kubernetes/kubernetes,190042332,0.0009722222222222,0,270,0.0,0.0,0.6733167082294265,539.7293459222769,145.54541666666665,0.0,0.0,0.13190730837789655,0.1649305555555555,1947,804,2024-12-10 19:35:54+00:00,53.0,0.0,112.25,True,94.81679389312976,262,validation,0,0,0,1,1,0.5604318981656988,-1.441407707758839,1,0
kubernetes/kubernetes,190045272,0.0118634259259259,0,271,0.0,0.0,0.6733167082294265,539.7293459222769,145.54541666666665,0.0,0.0,0.13190730837789655,0.1649305555555555,1947,804,2024-12-10 19:52:59+00:00,53.0,0.0,112.25,True,94.81679389312976,262,validation,0,0,0,1,1,0.5604318981656988,-1.441407707758839,1,0
kubernetes/kubernetes,190303378,1.0556944444444445,0,272,10.0,11.0,0.4545454545454545,1416.2865555555557,135.34583333333333,8.0,0.0,0.0,0.2,1936,796,2024-12-11 21:13:11+00:00,53.0,0.0,112.25,True,94.81679389312976,262,validation,1,1,1,1,1,0.41513071129409534,-1.441407707758839,1,0
kubernetes/kubernetes,194998161,34.97518518518518,0,273,243.0,329.0,0.6443768996960486,768.9495492662475,177.8323611111111,86.0,10.0,0.1162790697674418,0.0781893004115226,1934,793,2025-01-15 20:37:27+00:00,42.0,0.0,112.25,True,93.40441176470588,272,validation,1,1,1,1,1,0.360642766217244,-1.528810249986059,1,0
kubernetes/kubernetes,195004244,0.0238425925925925,0,274,2.0,1.0,1.0,691.6711111111111,691.6711111111111,1.0,0.0,0.0,1.0,1934,793,2025-01-15 21:11:47+00:00,42.0,0.0,112.25,True,93.40441176470588,272,validation,1,1,1,1,1,0.360642766217244,-1.528810249986059,1,0
kubernetes/kubernetes,195009621,0.0258680555555555,0,275,0.0,0.0,0.6733167082294265,539.7293459222769,145.54541666666665,0.0,0.0,0.13190730837789655,0.1649305555555555,1934,793,2025-01-15 21:49:02+00:00,42.0,0.0,112.25,True,93.40441176470588,272,validation,0,0,0,1,1,0.360642766217244,-1.528810249986059,1,0
kubernetes/kubernetes,195009966,0.0017476851851851,0,276,0.0,0.0,0.6733167082294265,539.7293459222769,145.54541666666665,0.0,0.0,0.13190730837789655,0.1649305555555555,1934,793,2025-01-15 21:51:33+00:00,42.0,0.0,112.25,True,93.40441176470588,272,validation,0,0,0,1,1,0.360642766217244,-1.528810249986059,1,0
kubernetes/kubernetes,200050412,28.4409375,0,278,314.0,331.0,0.676737160120846,521.2721974206349,126.745,93.0,19.0,0.2043010752688172,0.0732484076433121,1946,786,2025-02-13 08:26:30+00:00,57.0,0.0,112.25,True,93.40441176470588,272,validation,1,1,1,1,1,0.23350422770459092,-1.528810249986059,1,0
kubernetes/kubernetes,200050943,0.0019791666666666,0,279,0.0,0.0,0.6733167082294265,539.7293459222769,145.54541666666665,0.0,0.0,0.13190730837789655,0.1649305555555555,1946,786,2025-02-13 08:29:21+00:00,57.0,0.0,112.25,True,93.40441176470588,272,validation,0,0,0,1,1,0.23350422770459092,-1.528810249986059,1,0
kubernetes/kubernetes,200050980,0.0001388888888888,0,280,0.0,0.0,0.6733167082294265,539.7293459222769,145.54541666666665,0.0,0.0,0.13190730837789655,0.1649305555555555,1946,786,2025-02-13 08:29:33+00:00,57.0,0.0,112.25,True,93.40441176470588,272,validation,0,0,0,1,1,0.23350422770459092,-1.528810249986059,1,0
kubernetes/kubernetes,200066707,0.0482638888888888,0,281,1.0,0.0,0.6733167082294265,539.7293459222769,145.54541666666665,1.0,0.0,0.0,1.0,1946,786,2025-02-13 09:39:03+00:00,57.0,0.0,112.25,True,93.40441176470588,272,validation,1,0,1,1,1,0.23350422770459092,-1.528810249986059,1,0
kubernetes/kubernetes,205164533,26.622916666666665,0,285,463.0,434.0,0.7073732718894009,589.0275551936302,123.87305555555557,121.0,22.0,0.1818181818181818,0.0453563714902807,1946,774,2025-03-12 00:36:03+00:00,66.0,0.0,112.25,True,92.50541516245488,277,validation,1,1,1,1,1,0.015552447397185651,-1.5844429197211642,1,0
kubernetes/kubernetes,205171531,0.0434375,0,286,0.0,1.0,1.0,3.983888888888889,3.983888888888889,0.0,0.0,0.13190730837789655,0.1649305555555555,1947,774,2025-03-12 01:38:36+00:00,66.0,0.0,112.25,True,92.50541516245488,277,validation,0,1,0,1,1,0.015552447397185651,-1.5844429197211642,1,0
kubernetes/kubernetes,205178168,0.0540509259259259,0,287,1.0,1.0,1.0,131.38083333333333,131.38083333333333,1.0,0.0,0.0,1.0,1947,774,2025-03-12 02:56:26+00:00,67.0,0.0,112.25,True,92.50541516245488,277,validation,1,1,1,1,1,0.015552447397185651,-1.5844429197211642,1,0
kubernetes/kubernetes,205181589,0.0252893518518518,0,288,0.0,0.0,0.6733167082294265,539.7293459222769,145.54541666666665,0.0,0.0,0.13190730837789655,0.1649305555555555,1947,774,2025-03-12 03:32:51+00:00,67.0,0.0,112.25,True,92.50541516245488,277,validation,0,0,0,1,1,0.015552447397185651,-1.5844429197211642,1,0
kubernetes/kubernetes,214087468,41.950208333333336,0,291,424.0,420.0,0.5928571428571429,693.2408846497099,177.59416666666667,123.0,26.0,0.2113821138211382,0.0683962264150943,1989,788,2025-04-23 02:21:09+00:00,50.0,0.0,112.25,True,91.34027777777776,288,validation,1,1,1,1,1,0.2698295244224918,-1.6565451981452033,1,0
kubernetes/kubernetes,214087582,0.0010648148148148,0,292,0.0,0.0,0.6733167082294265,539.7293459222769,145.54541666666665,0.0,0.0,0.13190730837789655,0.1649305555555555,1989,788,2025-04-23 02:22:41+00:00,50.0,0.0,112.25,True,91.34027777777776,288,validation,0,0,0,1,1,0.2698295244224918,-1.6565451981452033,1,0
kubernetes/kubernetes,214087590,6.944444444444444e-05,0,293,0.0,0.0,0.6733167082294265,539.7293459222769,145.54541666666665,0.0,0.0,0.13190730837789655,0.1649305555555555,1989,788,2025-04-23 02:22:47+00:00,50.0,0.0,112.25,True,91.34027777777776,288,validation,0,0,0,1,1,0.2698295244224918,-1.6565451981452033,1,0
kubernetes/kubernetes,214300334,0.6403009259259259,0,294,3.0,5.0,0.4,11.90222222222222,11.90222222222222,3.0,0.0,0.0,0.3333333333333333,1989,789,2025-04-23 17:44:49+00:00,52.0,0.0,112.25,True,91.34027777777776,288,validation,1,1,1,1,1,0.28799217278144223,-1.6565451981452033,1,0
