repository_name,contributor identifier,first contribution date,number of contributions,release-cycle participation,author,is_bot,first_contribution_at,number_of_contributions,release_cycle_participation
apache/airflow,steveyz-astro,,6,,steveyz-astro,False,,6,
apache/airflow,sungwy,,6,,sungwy,False,,6,
apache/airflow,tswast,,6,,tswast,False,,6,
apache/airflow,Usiel,,6,,Usiel,False,,6,
apache/airflow,Abdur-rahmaanJ,,6,,Abdur-rahmaanJ,False,,6,
apache/airflow,abhishekbhakat,,6,,abhishekbhakat,False,,6,
apache/airflow,Abhishekmishra2808,,6,,Abhishekmishra2808,False,,6,
apache/airflow,akki,,6,,akki,False,,6,
apache/airflow,AlexisBRENON,,6,,AlexisBRENON,False,,6,
apache/airflow,antonimaciej,,6,,antonimaciej,False,,6,
apache/airflow,arjav1528,,6,,arjav1528,False,,6,
apache/airflow,AryanK1511,,6,,AryanK1511,False,,6,
apache/airflow,ahidalgob,,6,,ahidalgob,False,,6,
apache/airflow,brouberol,,6,,brouberol,False,,6,
apache/airflow,bjankie1,,6,,bjankie1,False,,6,
apache/airflow,btallman,,6,,btallman,False,,6,
apache/airflow,Noremac201,,6,,Noremac201,False,,6,
apache/airflow,deepujain,,6,,deepujain,False,,6,
apache/airflow,drewsonne,,6,,drewsonne,False,,6,
apache/airflow,edwardwang888,,6,,edwardwang888,False,,6,
apache/airflow,flolas,,6,,flolas,False,,6,
apache/airflow,MrGeorgeOwl,,6,,MrGeorgeOwl,False,,6,
apache/airflow,gitstart-airflow,,6,,gitstart-airflow,False,,6,
apache/airflow,idantepper,,6,,idantepper,False,,6,
apache/airflow,ipeluffo,,6,,ipeluffo,False,,6,
apache/airflow,IKholopov,,6,,IKholopov,False,,6,
apache/airflow,exploy,,6,,exploy,False,,6,
apache/airflow,joaopamaral,,6,,joaopamaral,False,,6,
apache/airflow,johnarnold,,6,,johnarnold,False,,6,
