repository_name,release_id,cycle_length_days,is_prerelease,release_sequence,commit_count,pr_count,pct_merged,avg_time_to_merge_hours,median_time_to_merge_hours,distinct_contributors,first_time_contributor_count,first_time_contributor_share,top_contributor_share,open_issues_at_release,open_bugs_at_release,release_date,bugs_in_window,elevated_risk,risk_threshold_used,window_complete,prior_releases_avg_bugs,prior_releases_count
apache/airflow,209736341,50.4840625,False,68,1051.0,1277.0,0.8449490994518403,92.56327309236949,7.464166666666666,139.0,59.0,0.4244604316546763,0.0818268315889629,1126,379,2025-04-02 01:35:22+00:00,239.0,1.0,116.75,True,101.65671641791045,67
apache/airflow,213942444,20.52734953703704,False,69,557.0,633.0,0.8988941548183255,68.66613503222027,6.083333333333333,81.0,17.0,0.2098765432098765,0.1274685816876122,1119,400,2025-04-22 14:14:45+00:00,199.0,1.0,116.75,True,101.65671641791045,67
apache/airflow,217952121,19.87070601851852,False,70,467.0,574.0,0.8972125435540069,73.76059492988135,4.851388888888889,75.0,17.0,0.2266666666666666,0.2077087794432548,1103,422,2025-05-12 11:08:34+00:00,132.0,1.0,116.75,True,103.67647058823529,68
apache/airflow,219713172,7.893645833333333,False,71,154.0,191.0,0.8952879581151832,103.17425601039636,5.956388888888889,54.0,11.0,0.2037037037037037,0.1688311688311688,1119,431,2025-05-20 08:35:25+00:00,132.0,1.0,116.75,True,103.67647058823529,68
apache/airflow,224349965,21.256944444444443,False,72,359.0,489.0,0.8384458077709611,94.07274796747966,9.35527777777778,85.0,21.0,0.2470588235294117,0.1420612813370473,1150,445,2025-06-10 14:45:25+00:00,186.0,1.0,116.75,True,105.05797101449275,69
apache/airflow,227200324,13.300219907407408,False,73,308.0,366.0,0.860655737704918,109.15153968253968,3.6038888888888887,82.0,24.0,0.2926829268292683,0.1201298701298701,1168,454,2025-06-23 21:57:44+00:00,183.0,1.0,116.75,True,105.8169014084507,71
apache/airflow,232060796,19.724085648148147,False,74,631.0,805.0,0.9093167701863354,125.31772009714633,4.322222222222223,103.0,33.0,0.3203883495145631,0.1220285261489698,1295,500,2025-07-13 15:20:25+00:00,160.0,1.0,116.75,True,106.93055555555556,72
apache/airflow,232316442,1.1565046296296295,False,75,16.0,18.0,0.8333333333333334,125.97348148148149,6.051944444444445,12.0,1.0,0.0833333333333333,0.3125,1291,500,2025-07-14 19:05:47+00:00,161.0,1.0,116.75,True,106.93055555555556,72
apache/airflow,238719377,25.135439814814816,False,76,420.0,557.0,0.8348294434470377,179.79649462365592,16.9925,112.0,34.0,0.3035714285714285,0.0952380952380952,1302,499,2025-08-08 22:20:49+00:00,142.0,1.0,116.75,True,107.97260273972603,73
apache/airflow,241324139,11.917638888888888,False,77,220.0,289.0,0.8512110726643599,137.7172515808491,9.998333333333333,70.0,14.0,0.2,0.1227272727272727,1297,494,2025-08-20 20:22:13+00:00,190.0,1.0,116.75,True,109.37333333333333,75
apache/airflow,243522727,8.989918981481482,False,78,160.0,204.0,0.8578431372549019,140.91481428571427,9.554722222222223,57.0,8.0,0.1403508771929824,0.1125,1308,506,2025-08-29 20:07:42+00:00,196.0,1.0,116.75,True,109.37333333333333,75
apache/airflow,250088226,27.02793981481481,False,79,546.0,666.0,0.8243243243243243,130.9119884638737,15.72,104.0,29.0,0.2788461538461538,0.0769230769230769,1337,531,2025-09-25 20:47:56+00:00,174.0,1.0,116.75,True,110.84415584415585,77
apache/airflow,257461859,31.710578703703703,False,80,595.0,769.0,0.8517555266579974,123.70200593723496,10.087222222222222,138.0,51.0,0.3695652173913043,0.1042016806722689,1343,541,2025-10-27 13:51:10+00:00,148.0,1.0,116.75,True,112.72151898734177,79
apache/airflow,259964514,9.092210648148148,False,81,224.0,320.0,0.88125,90.82363770685579,14.912638888888889,71.0,11.0,0.1549295774647887,0.1026785714285714,1368,559,2025-11-05 16:03:57+00:00,126.0,1.0,116.75,True,112.72151898734177,79
apache/airflow,262457040,8.946956018518518,False,82,241.0,312.0,0.8397435897435898,100.17836513994911,13.827638888888888,66.0,13.0,0.1969696969696969,0.1120331950207468,1373,558,2025-11-14 14:47:34+00:00,135.0,1.0,116.75,True,112.72151898734177,79
apache/airflow,269035834,25.766354166666662,False,83,478.0,612.0,0.826797385620915,99.29823945981556,8.676944444444445,117.0,37.0,0.3162393162393162,0.1506276150627615,1371,554,2025-12-10 09:11:07+00:00,99.0,0.0,116.75,True,113.32098765432099,81
apache/airflow,276315192,34.08150462962963,False,84,519.0,801.0,0.7403245942571786,109.68666057710324,11.605833333333333,136.0,55.0,0.4044117647058823,0.0674373795761079,1392,559,2026-01-13 11:08:29+00:00,138.0,1.0,116.75,True,113.40963855421687,83
apache/airflow,276530798,0.4506712962962963,False,85,17.0,21.0,0.8095238095238095,167.29877450980393,24.3875,14.0,2.0,0.1428571428571428,0.1764705882352941,1391,554,2026-01-13 21:57:27+00:00,135.0,1.0,116.75,True,113.40963855421687,83
apache/airflow,282931220,21.599282407407408,False,86,376.0,631.0,0.7416798732171157,152.3372987891738,21.90736111111111,115.0,33.0,0.2869565217391304,0.0558510638297872,1368,534,2026-02-04 12:20:25+00:00,133.0,1.0,116.75,True,113.40963855421687,83
apache/airflow,287396789,13.315381944444445,False,87,265.0,426.0,0.7605633802816901,227.3516838134431,20.430416666666666,91.0,23.0,0.2527472527472527,0.0792452830188679,1367,528,2026-02-17 19:54:34+00:00,176.0,1.0,116.75,True,113.95294117647059,85
apache/airflow,290595792,8.077210648148148,False,88,171.0,282.0,0.7730496453900709,182.588999745158,32.22472222222222,77.0,24.0,0.3116883116883117,0.0643274853801169,1362,532,2026-02-25 21:45:45+00:00,166.0,1.0,116.75,True,113.95294117647059,85
apache/airflow,295900925,14.021192129629627,False,89,436.0,623.0,0.7720706260032103,112.42641603141605,12.485,110.0,29.0,0.2636363636363636,0.1353211009174312,1304,498,2026-03-11 22:16:16+00:00,167.0,1.0,116.75,True,114.17441860465117,86
apache/airflow,298892967,7.513078703703703,False,90,252.0,379.0,0.7308707124010554,145.59184917769755,16.31833333333333,92.0,21.0,0.2282608695652173,0.1388888888888889,1293,492,2026-03-19 10:35:06+00:00,143.0,1.0,116.75,True,114.17441860465117,86
apache/airflow,299977257,3.499652777777778,False,91,62.0,110.0,0.5818181818181818,168.82887586805555,14.105138888888888,30.0,2.0,0.0666666666666666,0.1935483870967742,1301,495,2026-03-22 22:34:36+00:00,139.0,1.0,116.75,True,114.88505747126437,87
apache/airflow,306141963,15.678622685185186,False,92,360.0,511.0,0.7475538160469667,153.23964441535776,15.913888888888888,106.0,32.0,0.3018867924528302,0.1166666666666666,1225,471,2026-04-07 14:51:49+00:00,158.0,1.0,116.75,True,115.4659090909091,88
apache/airflow,312131648,14.775092592592593,False,93,320.0,498.0,0.7871485943775101,116.00900581065761,13.418055555555554,94.0,17.0,0.1808510638297872,0.2375,1227,484,2026-04-22 09:27:57+00:00,138.0,1.0,116.75,True,116.5934065934066,91
apache/airflow,313416734,2.4769212962962963,False,94,53.0,87.0,0.8160919540229885,103.53360719874804,63.210277777777776,31.0,8.0,0.2580645161290322,0.0943396226415094,1244,485,2026-04-24 20:54:43+00:00,127.0,1.0,116.75,True,116.5934065934066,91
apache/airflow,331316417,34.39769675925926,False,95,805.0,1310.0,0.7213740458015268,115.5638706643151,22.54222222222222,194.0,87.0,0.4484536082474227,0.1391304347826087,1222,454,2026-05-29 06:27:24+00:00,100.0,0.0,116.75,True,117.37234042553192,94
apache/airflow,333981785,5.584826388888889,False,96,143.0,209.0,0.6698564593301436,105.14936111111112,16.34166666666667,57.0,16.0,0.2807017543859649,0.1398601398601398,1214,439,2026-06-03 20:29:33+00:00,102.0,0.0,116.75,True,117.37234042553192,94
apache/airflow,334088828,10.130416666666669,False,97,263.0,410.0,0.6853658536585366,106.31400751285092,28.515555555555554,93.0,22.0,0.2365591397849462,0.1026615969581749,1179,431,2026-06-13 23:37:21+00:00,88.0,0.0,116.75,True,117.37234042553192,94
apache/airflow,349639355,22.65184027777778,False,98,458.0,671.0,0.6423248882265276,92.3212019850477,24.804444444444446,126.0,31.0,0.246031746031746,0.0895196506550218,1150,421,2026-07-06 15:16:00+00:00,,,116.75,False,117.03125,96
